timestamp,latitude,longitude,type,amplitude_ka,height_m,num_sensors
2026-09-01T00:35:00.321210597Z,7.674677,118.727048,Cloud to Ground,7408,0,7
2026-09-01T00:35:00.450637767Z,7.560442,118.77693,Cloud to Cloud,-12392,4953,7
2026-09-01T00:35:00.295795908Z,7.562769,118.777388,Cloud to Ground,42490,0,19
2026-09-01T00:34:59.998483956Z,16.907938,132.847487,Cloud to Ground,-12796,0,6
2026-09-01T00:35:00.301453426Z,16.95571,132.853436,Cloud to Ground,10035,0,14
2026-09-01T00:35:00.485989035Z,16.955354,132.855921,Cloud to Ground,10378,0,8
2026-09-01T00:35:00.390633885Z,16.946975,132.853279,Cloud to Ground,20871,0,14
2026-09-01T00:35:00.236433482Z,16.946203,132.864725,Cloud to Ground,44841,0,16
2026-09-01T00:35:01.962339289Z,16.806676,131.553608,Cloud to Ground,-10457,0,7
2026-09-01T00:35:01.960852515Z,16.795755,131.560585,Cloud to Ground,61033,0,15
2026-09-01T00:35:01.226156997Z,15.247436,119.94747,Cloud to Cloud,4261,10847,6
2026-09-01T00:35:01.134931218Z,15.170987,119.994652,Cloud to Cloud,6467,19393,7
2026-09-01T00:35:02.927343153Z,4.370252,118.239373,Cloud to Ground,-15177,0,7
2026-09-01T00:35:03.969833183Z,16.912491,133.045673,Cloud to Ground,-25199,0,12
2026-09-01T00:35:03.966040032Z,16.918802,133.044123,Cloud to Ground,-19663,0,16
2026-09-01T00:35:04.068030129Z,16.879583,132.99818,Cloud to Cloud,-16601,4430,12
2026-09-01T00:35:04.010052900Z,16.879834,133.01928,Cloud to Ground,-13552,0,11
2026-09-01T00:35:03.958816131Z,16.934357,133.028939,Cloud to Ground,-12367,0,13
2026-09-01T00:35:03.956210355Z,16.91887,133.042348,Cloud to Ground,-9096,0,12
2026-09-01T00:35:03.955304063Z,16.939844,133.032492,Cloud to Ground,20048,0,14
2026-09-01T00:35:03.381406571Z,17.182616,131.367578,Cloud to Ground,-9972,0,7
2026-09-01T00:35:03.011586970Z,17.134416,131.706437,Cloud to Ground,-13518,0,18
2026-09-01T00:35:03.407569992Z,17.20857,131.711403,Cloud to Ground,13904,0,14
2026-09-01T00:35:03.022594698Z,17.136928,131.723269,Cloud to Ground,16968,0,11
2026-09-01T00:35:03.252124819Z,17.163674,131.519726,Cloud to Ground,9453,0,8
2026-09-01T00:35:03.939099127Z,19.430339,111.282119,Cloud to Ground,-33666,0,16
2026-09-01T00:35:03.952140651Z,19.452844,111.289211,Cloud to Ground,-10814,0,6
2026-09-01T00:35:03.949027911Z,19.367967,111.219633,Cloud to Ground,7614,0,6
2026-09-01T00:35:03.940576188Z,19.400283,111.192546,Cloud to Ground,8715,0,7
2026-09-01T00:35:03.944129866Z,19.312975,111.151536,Cloud to Ground,11675,0,6
2026-09-01T00:35:03.936737708Z,19.427967,111.276746,Cloud to Cloud,14151,7844,6
2026-09-01T00:35:03.938233400Z,19.404128,111.187561,Cloud to Ground,54950,0,10
2026-09-01T00:35:05.682957514Z,17.179325,130.860555,Cloud to Cloud,-7373,7971,7
2026-09-01T00:35:05.655039009Z,17.117137,131.014591,Cloud to Cloud,-10142,4573,7
2026-09-01T00:35:05.658938671Z,17.062531,131.019473,Cloud to Ground,-10108,0,8
2026-09-01T00:35:05.697627725Z,17.056439,131.034,Cloud to Cloud,-9448,16766,8
2026-09-01T00:35:05.806551347Z,17.11592,131.012682,Cloud to Ground,-7894,0,6
2026-09-01T00:35:05.656049260Z,17.111191,131.008464,Cloud to Ground,13754,0,9
2026-09-01T00:35:06.066131194Z,8.495393,119.678236,Cloud to Cloud,26205,3209,12
2026-09-01T00:35:06.418112071Z,16.160726,134.841594,Cloud to Ground,-14498,0,6
2026-09-01T00:35:06.164116871Z,16.160382,134.835512,Cloud to Ground,-13514,0,9
2026-09-01T00:35:06.441781000Z,16.123172,134.858591,Cloud to Ground,-13131,0,7
2026-09-01T00:35:06.162702866Z,16.208152,134.757384,Cloud to Cloud,-12198,18828,13
2026-09-01T00:35:06.166690679Z,16.154506,134.823984,Cloud to Ground,-10071,0,9
2026-09-01T00:35:06.259480978Z,16.152143,134.818906,Cloud to Ground,-8809,0,6
2026-09-01T00:35:06.420809125Z,16.153831,134.837022,Cloud to Ground,-8382,0,6
2026-09-01T00:35:06.258875735Z,16.135553,134.827331,Cloud to Cloud,10079,8466,8
2026-09-01T00:35:07.869987240Z,4.45492,118.143711,Cloud to Cloud,10007,15631,8
2026-09-01T00:35:07.614693376Z,4.454051,118.192418,Cloud to Cloud,12911,8849,15
2026-09-01T00:35:07.375415841Z,4.455859,118.18005,Cloud to Cloud,13783,3039,12
2026-09-01T00:35:08.652756178Z,4.504124,118.104833,Cloud to Ground,-65511,0,29
2026-09-01T00:35:08.477610343Z,17.09967,132.442917,Cloud to Ground,-16089,0,15
2026-09-01T00:35:08.469768058Z,17.12761,132.445447,Cloud to Ground,-11763,0,9
2026-09-01T00:35:08.483014295Z,17.090852,132.451617,Cloud to Ground,-11169,0,12
2026-09-01T00:35:08.494090147Z,17.085604,132.465151,Cloud to Ground,-9513,0,9
2026-09-01T00:35:08.793403231Z,17.061919,132.41526,Cloud to Ground,13458,0,11
2026-09-01T00:35:08.468731648Z,17.124923,132.44853,Cloud to Ground,49070,0,14
2026-09-01T00:35:09.550614297Z,20.931549,123.238556,Cloud to Ground,22348,0,10
2026-09-01T00:35:09.804338413Z,20.860544,123.325683,Cloud to Cloud,-2642,7821,5
2026-09-01T00:35:09.569122452Z,20.9081,123.331656,Cloud to Cloud,2086,9406,6
2026-09-01T00:35:09.553067331Z,20.900218,123.351895,Cloud to Cloud,2451,10785,7
2026-09-01T00:35:09.568117153Z,20.901229,123.346006,Cloud to Cloud,2494,9779,7
2026-09-01T00:35:09.603678172Z,20.889863,123.353176,Cloud to Cloud,2774,17111,7
2026-09-01T00:35:09.561037625Z,20.88834,123.337996,Cloud to Cloud,2958,14863,7
2026-09-01T00:35:09.558573817Z,20.904587,123.344076,Cloud to Cloud,3206,9864,6
2026-09-01T00:35:09.555631332Z,20.895709,123.341755,Cloud to Cloud,3533,4314,6
2026-09-01T00:35:09.551756365Z,20.842668,123.389141,Cloud to Cloud,5599,5265,7
2026-09-01T00:35:09.552622838Z,20.913329,123.33807,Cloud to Cloud,6993,13548,7
2026-09-01T00:35:11.433663264Z,16.416675,134.330857,Cloud to Ground,-13222,0,13
2026-09-01T00:35:11.580111081Z,16.398006,134.344509,Cloud to Ground,-10631,0,7
2026-09-01T00:35:11.467378273Z,16.420526,134.329614,Cloud to Ground,-8410,0,7
2026-09-01T00:35:11.654428401Z,16.399594,134.360118,Cloud to Ground,-7781,0,7
2026-09-01T00:35:13.765247628Z,17.236902,131.14722,Cloud to Cloud,-11027,3034,9
2026-09-01T00:35:13.667061352Z,17.219531,131.141711,Cloud to Cloud,9039,6479,13
2026-09-01T00:35:13.211514088Z,17.282193,131.315502,Cloud to Cloud,-10586,12214,18
2026-09-01T00:35:13.658140268Z,17.199099,131.343299,Cloud to Ground,-9742,0,9
2026-09-01T00:35:13.814073481Z,17.214149,131.360453,Cloud to Ground,9588,0,6
2026-09-01T00:35:13.931596297Z,17.194057,131.386937,Cloud to Ground,21296,0,8
2026-09-01T00:35:13.469273066Z,16.913522,132.866875,Cloud to Ground,-9424,0,11
2026-09-01T00:35:13.525277421Z,18.141032,130.419052,Cloud to Cloud,-5858,15870,7
2026-09-01T00:35:14.714286834Z,16.365948,134.418019,Cloud to Ground,-9918,0,9
2026-09-01T00:35:14.496323672Z,15.622348,119.66975,Cloud to Cloud,11541,17309,11
2026-09-01T00:35:15.206783005Z,4.407215,118.214751,Cloud to Cloud,-18869,9283,19
2026-09-01T00:35:15.524998596Z,4.401923,118.238042,Cloud to Cloud,-10961,16097,8
2026-09-01T00:35:14.964535257Z,4.413188,118.239606,Cloud to Cloud,-10180,15316,7
2026-09-01T00:35:15.768639148Z,16.4098,134.376357,Cloud to Ground,11126,0,14
2026-09-01T00:35:15.612433452Z,16.400208,134.38062,Cloud to Ground,27136,0,13
2026-09-01T00:35:15.456917936Z,16.397483,134.388276,Cloud to Ground,38989,0,15
2026-09-01T00:35:15.613754991Z,16.273442,134.345752,Cloud to Ground,-11290,0,14
2026-09-01T00:35:15.614918524Z,16.285029,134.33879,Cloud to Ground,11727,0,14
2026-09-01T00:35:18.480749692Z,4.497958,118.228544,Cloud to Ground,-13581,0,12
2026-09-01T00:35:18.504375616Z,4.538718,118.293997,Cloud to Cloud,-8514,7841,7
2026-09-01T00:35:20.062648556Z,16.886443,131.763404,Cloud to Cloud,-11274,5422,12
2026-09-01T00:35:20.052250085Z,16.905456,131.752301,Cloud to Ground,-10633,0,12
2026-09-01T00:35:20.064699002Z,16.890518,131.754749,Cloud to Cloud,-9462,17565,18
2026-09-01T00:35:21.148320189Z,4.582108,118.218359,Cloud to Cloud,-12605,3627,13
2026-09-01T00:35:21.568879267Z,16.906312,131.561358,Cloud to Cloud,-14416,15606,10
2026-09-01T00:35:21.605098248Z,18.874044,131.839251,Cloud to Cloud,-15636,17050,14
2026-09-01T00:35:21.607706911Z,18.863532,131.861243,Cloud to Ground,-12575,0,10
2026-09-01T00:35:21.609622168Z,18.929522,131.829538,Cloud to Ground,-11371,0,8
2026-09-01T00:35:21.608512013Z,18.853791,131.847156,Cloud to Cloud,-11046,4041,15
2026-09-01T00:35:21.602466154Z,18.859932,131.844562,Cloud to Ground,-10540,0,9
2026-09-01T00:35:21.932232828Z,18.85155,131.916026,Cloud to Ground,-9031,0,9
2026-09-01T00:35:21.635682624Z,18.878242,131.906184,Cloud to Ground,-8020,0,6
2026-09-01T00:35:21.658494736Z,18.911466,131.907626,Cloud to Cloud,6454,15244,7
2026-09-01T00:35:21.717208962Z,18.826695,131.775097,Cloud to Ground,9698,0,9
2026-09-01T00:35:21.720213022Z,18.840965,131.775016,Cloud to Ground,10752,0,8
2026-09-01T00:35:21.599387830Z,18.848206,131.841281,Cloud to Ground,19713,0,11
2026-09-01T00:35:21.730473978Z,18.726103,131.730966,Cloud to Cloud,-12901,5508,8
2026-09-01T00:35:22.216745021Z,7.548161,118.934613,Cloud to Cloud,13352,16712,8
2026-09-01T00:35:22.534849250Z,7.577676,118.883448,Cloud to Ground,20555,0,11
2026-09-01T00:35:23.568730711Z,4.436522,118.226775,Cloud to Cloud,-12187,6448,8
2026-09-01T00:35:23.375910567Z,4.467317,118.279076,Cloud to Ground,11708,0,7
2026-09-01T00:35:26.655662510Z,4.380691,118.095753,Cloud to Cloud,-9935,4107,8
2026-09-01T00:35:26.102942991Z,4.608728,118.340604,Cloud to Cloud,-15689,13255,7
2026-09-01T00:35:26.307369179Z,4.628985,118.323518,Cloud to Ground,12977,0,8
2026-09-01T00:35:26.040736081Z,4.635074,118.277786,Cloud to Cloud,15925,17262,11
2026-09-01T00:35:28.731885697Z,19.260736,130.264106,Cloud to Ground,-8194,0,9
2026-09-01T00:35:29.932597774Z,16.41199,134.334941,Cloud to Ground,-8380,0,7
2026-09-01T00:35:30.730352782Z,17.071948,131.427614,Cloud to Ground,13538,0,8
2026-09-01T00:35:30.139836041Z,16.859739,132.689844,Cloud to Ground,16502,0,7
2026-09-01T00:35:30.379514104Z,17.162267,131.327444,Cloud to Ground,-11444,0,17
2026-09-01T00:35:31.626480577Z,17.221492,131.076017,Cloud to Cloud,-13357,3055,9
2026-09-01T00:35:31.825579766Z,17.194311,131.114396,Cloud to Cloud,-10291,8309,10
2026-09-01T00:35:31.556530609Z,16.824926,132.074053,Cloud to Ground,-18872,0,12
2026-09-01T00:35:31.534922518Z,16.838842,132.07656,Cloud to Cloud,-17200,3120,10
2026-09-01T00:35:31.619160811Z,16.803412,132.125425,Cloud to Ground,22290,0,12
2026-09-01T00:35:32.168477198Z,16.865439,132.099722,Cloud to Ground,24776,0,10
2026-09-01T00:35:32.846932666Z,17.160113,131.199506,Cloud to Ground,-8857,0,11
2026-09-01T00:35:32.751975567Z,16.92436,132.785971,Cloud to Ground,-9580,0,8
2026-09-01T00:35:32.835460025Z,16.924134,132.86035,Cloud to Cloud,9655,4900,6
2026-09-01T00:35:32.791662341Z,16.876443,132.876619,Cloud to Ground,11411,0,7
2026-09-01T00:35:33.687133832Z,8.20249,119.357895,Cloud to Cloud,15312,14738,9
2026-09-01T00:35:33.981592589Z,8.102575,119.427287,Cloud to Ground,-16676,0,11
2026-09-01T00:35:33.726844500Z,8.09506,119.439454,Cloud to Ground,10456,0,10
2026-09-01T00:35:34.366185407Z,17.696727,131.321296,Cloud to Ground,-31639,0,16
2026-09-01T00:35:34.368166416Z,17.70328,131.321543,Cloud to Ground,-21445,0,18
2026-09-01T00:35:34.065776682Z,17.627419,131.355265,Cloud to Ground,-17684,0,8
2026-09-01T00:35:34.364346374Z,17.701308,131.319635,Cloud to Ground,-16365,0,7
2026-09-01T00:35:34.367080667Z,17.706317,131.310038,Cloud to Ground,-15311,0,12
2026-09-01T00:35:34.489442394Z,17.728047,131.223881,Cloud to Ground,-10986,0,9
2026-09-01T00:35:34.074983725Z,17.702174,131.18778,Cloud to Ground,10749,0,8
2026-09-01T00:35:34.689683135Z,17.767296,131.285074,Cloud to Ground,20621,0,7
2026-09-01T00:35:34.508188667Z,16.957236,132.110938,Cloud to Ground,-21275,0,12
2026-09-01T00:35:35.688599986Z,4.498693,118.222672,Cloud to Ground,-12209,0,10
2026-09-01T00:35:36.141603596Z,16.778296,132.558188,Cloud to Cloud,-10438,3175,8
2026-09-01T00:35:36.343350402Z,16.744339,132.093467,Cloud to Ground,-16399,0,7
2026-09-01T00:35:37.719135976Z,4.129422,113.604434,Cloud to Cloud,-11974,9270,10
2026-09-01T00:35:37.183725000Z,7.6357,118.8278,Cloud to Ground,34467,0,5
2026-09-01T00:35:39.291006389Z,8.465536,119.646856,Cloud to Cloud,-19299,13167,10
2026-09-01T00:35:39.763563364Z,8.412876,119.73755,Cloud to Ground,-43630,0,8
2026-09-01T00:35:39.288471896Z,8.403593,119.74013,Cloud to Ground,18802,0,10
2026-09-01T00:35:39.510704048Z,18.778388,132.256869,Cloud to Ground,11419,0,12
2026-09-01T00:35:39.483990751Z,18.854776,132.233397,Cloud to Ground,70296,0,18
2026-09-01T00:35:39.231530532Z,19.405484,116.240322,Cloud to Ground,-86061,0,13
2026-09-01T00:35:39.277236799Z,19.38832,116.202447,Cloud to Ground,-12362,0,8
2026-09-01T00:35:39.267214961Z,19.386453,116.192579,Cloud to Cloud,-12101,5300,7
2026-09-01T00:35:39.276565094Z,19.407983,116.240952,Cloud to Ground,-11728,0,8
2026-09-01T00:35:40.304379654Z,17.175243,131.361147,Cloud to Ground,-15582,0,14
2026-09-01T00:35:40.793770516Z,20.78826,123.274006,Cloud to Cloud,2920,9441,5
2026-09-01T00:35:40.789563125Z,20.788359,123.275634,Cloud to Cloud,4242,3272,8
2026-09-01T00:35:40.797580689Z,20.785717,123.301407,Cloud to Cloud,4714,6742,7
2026-09-01T00:35:40.780422002Z,20.804037,123.295251,Cloud to Cloud,4802,3005,6
2026-09-01T00:35:40.775348678Z,20.829968,123.158679,Cloud to Ground,12905,0,10
2026-09-01T00:35:40.774783583Z,20.853655,123.147899,Cloud to Ground,13070,0,14
2026-09-01T00:35:41.274411763Z,4.408783,118.230263,Cloud to Cloud,8230,16010,7
2026-09-01T00:35:41.199227167Z,4.447404,118.25689,Cloud to Ground,14403,0,7
2026-09-01T00:35:41.594412802Z,16.833326,132.933115,Cloud to Ground,16572,0,9
2026-09-01T00:35:41.482721902Z,16.870982,132.841579,Cloud to Ground,-14602,0,9
2026-09-01T00:35:41.487437448Z,16.948833,132.868725,Cloud to Ground,10336,0,9
2026-09-01T00:35:43.294641755Z,4.40561,118.328824,Cloud to Ground,9490,0,10
2026-09-01T00:35:43.550750621Z,17.079553,131.014137,Cloud to Cloud,-9312,6692,6
2026-09-01T00:35:43.558976774Z,17.09589,131.006977,Cloud to Ground,-8931,0,8
